instant,dteday,season,year,month,hour,holiday,weekday,workingday,weather situation,temp,atemp,humidity,windspeed,casual,registered,count_cr,time_of_day,windspeed_category
4043,2011-06-22,Fall,2011,Jun,8.0,0,Wednesday,1,Clear,0.72,0.697,0.74,0.1045,27,396,423,Pagi,Angin Ringan
4044,2011-06-22,Fall,2011,Jun,9.0,0,Wednesday,1,Clear,0.72,0.697,0.79,0.1642,14,205,219,Pagi,Angin Ringan
4045,2011-06-22,Fall,2011,Jun,10.0,0,Wednesday,1,Clear,0.74,0.697,0.7,0.2537,31,104,135,Pagi,Angin Sedang
4046,2011-06-22,Fall,2011,Jun,11.0,0,Wednesday,1,Clear,0.74,0.697,0.7,0.1642,37,108,145,Pagi,Angin Ringan
4047,2011-06-22,Fall,2011,Jun,12.0,0,Wednesday,1,Misty,0.8,0.7727,0.59,0.2239,44,144,188,Siang,Angin Sedang
4048,2011-06-22,Fall,2011,Jun,13.0,0,Wednesday,1,Misty,0.82,0.7879,0.56,0.2537,34,113,147,Siang,Angin Sedang
4049,2011-06-22,Fall,2011,Jun,14.0,0,Wednesday,1,Misty,0.82,0.7727,0.52,0.2836,32,113,145,Siang,Angin Sedang
4050,2011-06-22,Fall,2011,Jun,15.0,0,Wednesday,1,Misty,0.82,0.7879,0.56,0.2836,32,114,146,Siang,Angin Sedang
4051,2011-06-22,Fall,2011,Jun,16.0,0,Wednesday,1,Misty,0.82,0.803,0.59,0.3284,34,224,258,Sore,Angin Sedang
4052,2011-06-22,Fall,2011,Jun,17.0,0,Wednesday,1,Misty,0.8,0.7576,0.55,0.3881,67,462,529,Sore,Angin Kencang
4053,2011-06-22,Fall,2011,Jun,18.0,0,Wednesday,1,Misty,0.8,0.7727,0.59,0.2537,66,447,513,Sore,Angin Sedang
4054,2011-06-22,Fall,2011,Jun,19.0,0,Wednesday,1,Misty,0.8,0.7424,0.52,0.2537,62,280,342,Malam,Angin Sedang
4055,2011-06-22,Fall,2011,Jun,20.0,0,Wednesday,1,Clear,0.74,0.7121,0.74,0.1343,52,230,282,Malam,Angin Ringan
4056,2011-06-22,Fall,2011,Jun,21.0,0,Wednesday,1,Clear,0.74,0.7121,0.79,0.1642,31,216,247,Malam,Angin Ringan
4057,2011-06-22,Fall,2011,Jun,22.0,0,Wednesday,1,Misty,0.72,0.697,0.79,0.194,25,123,148,Malam,Angin Ringan
4058,2011-06-22,Fall,2011,Jun,23.0,0,Wednesday,1,Misty,0.72,0.697,0.79,0.2239,14,91,105,Malam,Angin Sedang
4059,2011-06-23,Fall,2011,Jun,0.0,0,Thursday,1,Clear,0.72,0.697,0.79,0.2239,5,44,49,Malam,Angin Sedang
4060,2011-06-23,Fall,2011,Jun,1.0,0,Thursday,1,Clear,0.72,0.697,0.74,0.2239,5,26,31,Malam,Angin Sedang
4061,2011-06-23,Fall,2011,Jun,2.0,0,Thursday,1,Clear,0.72,0.697,0.74,0.2239,0,4,4,Malam,Angin Sedang
4062,2011-06-23,Fall,2011,Jun,3.0,0,Thursday,1,Misty,0.72,0.697,0.74,0.1642,1,4,5,Malam,Angin Ringan
4063,2011-06-23,Fall,2011,Jun,4.0,0,Thursday,1,Misty,0.7,0.6667,0.79,0.1343,0,7,7,Malam,Angin Ringan
4064,2011-06-23,Fall,2011,Jun,5.0,0,Thursday,1,Clear,0.72,0.697,0.74,0.1642,2,22,24,Malam,Angin Ringan
4065,2011-06-23,Fall,2011,Jun,6.0,0,Thursday,1,Clear,0.72,0.697,0.74,0.1642,8,92,100,Pagi,Angin Ringan
4066,2011-06-23,Fall,2011,Jun,7.0,0,Thursday,1,Misty,0.72,0.697,0.74,0.1343,26,301,327,Pagi,Angin Ringan
4067,2011-06-23,Fall,2011,Jun,8.0,0,Thursday,1,Misty,0.74,0.697,0.7,0.194,20,412,432,Pagi,Angin Ringan
4068,2011-06-23,Fall,2011,Jun,9.0,0,Thursday,1,Misty,0.74,0.697,0.7,0.1343,33,194,227,Pagi,Angin Ringan
4069,2011-06-23,Fall,2011,Jun,10.0,0,Thursday,1,Misty,0.76,0.7273,0.66,0.1343,39,88,127,Pagi,Angin Ringan
4070,2011-06-23,Fall,2011,Jun,11.0,0,Thursday,1,Light_rainsnow,0.76,0.7273,0.66,0.2537,28,108,136,Pagi,Angin Sedang
4071,2011-06-23,Fall,2011,Jun,12.0,0,Thursday,1,Misty,0.76,0.7273,0.66,0.2836,30,130,160,Siang,Angin Sedang
4072,2011-06-23,Fall,2011,Jun,13.0,0,Thursday,1,Misty,0.76,0.7121,0.62,0.2836,37,149,186,Siang,Angin Sedang
4073,2011-06-23,Fall,2011,Jun,14.0,0,Thursday,1,Misty,0.76,0.7273,0.66,0.2985,46,103,149,Siang,Angin Sedang
4074,2011-06-23,Fall,2011,Jun,15.0,0,Thursday,1,Misty,0.76,0.697,0.52,0.3582,62,127,189,Siang,Angin Kencang
4075,2011-06-23,Fall,2011,Jun,16.0,0,Thursday,1,Misty,0.74,0.6818,0.62,0.2985,58,217,275,Sore,Angin Sedang
4076,2011-06-23,Fall,2011,Jun,17.0,0,Thursday,1,Misty,0.72,0.6818,0.7,0.3582,74,495,569,Sore,Angin Kencang
4077,2011-06-23,Fall,2011,Jun,18.0,0,Thursday,1,Clear,0.72,0.6818,0.7,0.4179,57,483,540,Sore,Angin Kencang
4078,2011-06-23,Fall,2011,Jun,19.0,0,Thursday,1,Clear,0.72,0.6818,0.7,0.3582,56,344,400,Malam,Angin Kencang
4079,2011-06-23,Fall,2011,Jun,20.0,0,Thursday,1,Clear,0.7,0.6667,0.74,0.2239,75,277,352,Malam,Angin Sedang
4080,2011-06-23,Fall,2011,Jun,21.0,0,Thursday,1,Clear,0.7,0.6667,0.74,0.194,46,188,234,Malam,Angin Ringan
4081,2011-06-23,Fall,2011,Jun,22.0,0,Thursday,1,Misty,0.7,0.6667,0.74,0.2239,23,139,162,Malam,Angin Sedang
4082,2011-06-23,Fall,2011,Jun,23.0,0,Thursday,1,Clear,0.7,0.6667,0.74,0.2836,15,90,105,Malam,Angin Sedang
4083,2011-06-24,Fall,2011,Jun,0.0,0,Friday,1,Clear,0.68,0.6364,0.79,0.194,10,53,63,Malam,Angin Ringan
4084,2011-06-24,Fall,2011,Jun,1.0,0,Friday,1,Clear,0.66,0.6061,0.83,0.3284,8,20,28,Malam,Angin Sedang
4085,2011-06-24,Fall,2011,Jun,2.0,0,Friday,1,Clear,0.66,0.6061,0.83,0.3284,4,10,14,Malam,Angin Sedang
4086,2011-06-24,Fall,2011,Jun,3.0,0,Friday,1,Clear,0.66,0.6061,0.83,0.1642,1,4,5,Malam,Angin Ringan
4087,2011-06-24,Fall,2011,Jun,4.0,0,Friday,1,Clear,0.66,0.6061,0.83,0.0896,1,8,9,Malam,Angin Ringan
4088,2011-06-24,Fall,2011,Jun,5.0,0,Friday,1,Clear,0.64,0.5758,0.89,0.0896,2,18,20,Malam,Angin Ringan
4089,2011-06-24,Fall,2011,Jun,6.0,0,Friday,1,Clear,0.66,0.6061,0.83,0.1343,4,87,91,Pagi,Angin Ringan
4090,2011-06-24,Fall,2011,Jun,7.0,0,Friday,1,Misty,0.66,0.6061,0.83,0.2239,21,247,268,Pagi,Angin Sedang
4091,2011-06-24,Fall,2011,Jun,8.0,0,Friday,1,Clear,0.7,0.6667,0.74,0.2239,27,439,466,Pagi,Angin Sedang
4092,2011-06-24,Fall,2011,Jun,9.0,0,Friday,1,Clear,0.74,0.6818,0.62,0.1343,28,203,231,Pagi,Angin Ringan
4093,2011-06-24,Fall,2011,Jun,10.0,0,Friday,1,Clear,0.8,0.7273,0.43,0.2836,43,102,145,Pagi,Angin Sedang
4094,2011-06-24,Fall,2011,Jun,11.0,0,Friday,1,Clear,0.8,0.7121,0.38,0.3284,56,147,203,Pagi,Angin Sedang
4095,2011-06-24,Fall,2011,Jun,12.0,0,Friday,1,Clear,0.8,0.7121,0.41,0.2836,51,150,201,Siang,Angin Sedang
4096,2011-06-24,Fall,2011,Jun,13.0,0,Friday,1,Clear,0.8,0.7121,0.36,0.2239,43,178,221,Siang,Angin Sedang
4097,2011-06-24,Fall,2011,Jun,14.0,0,Friday,1,Clear,0.78,0.697,0.43,0.2836,67,162,229,Siang,Angin Sedang
4098,2011-06-24,Fall,2011,Jun,15.0,0,Friday,1,Clear,0.82,0.7273,0.34,0.3881,69,147,216,Siang,Angin Kencang
4099,2011-06-24,Fall,2011,Jun,16.0,0,Friday,1,Clear,0.8,0.697,0.33,0.4179,80,247,327,Sore,Angin Kencang
4100,2011-06-24,Fall,2011,Jun,17.0,0,Friday,1,Clear,0.76,0.6667,0.37,0.2537,85,472,557,Sore,Angin Sedang
4101,2011-06-24,Fall,2011,Jun,18.0,0,Friday,1,Clear,0.76,0.6667,0.37,0.2985,87,365,452,Sore,Angin Sedang
4102,2011-06-24,Fall,2011,Jun,19.0,0,Friday,1,Clear,0.74,0.6515,0.4,0.2239,92,293,385,Malam,Angin Sedang
4103,2011-06-24,Fall,2011,Jun,20.0,0,Friday,1,Clear,0.72,0.6515,0.45,0.1642,66,222,288,Malam,Angin Ringan
4104,2011-06-24,Fall,2011,Jun,21.0,0,Friday,1,Clear,0.7,0.6515,0.48,0.1343,50,183,233,Malam,Angin Ringan
4105,2011-06-24,Fall,2011,Jun,22.0,0,Friday,1,Clear,0.7,0.6515,0.48,0.0,41,126,167,Malam,Angin Ringan
4106,2011-06-24,Fall,2011,Jun,23.0,0,Friday,1,Clear,0.68,0.6364,0.51,0.1343,33,139,172,Malam,Angin Ringan
4107,2011-06-25,Fall,2011,Jun,0.0,0,Saturday,0,Clear,0.68,0.6364,0.47,0.1642,19,97,116,Malam,Angin Ringan
4108,2011-06-25,Fall,2011,Jun,1.0,0,Saturday,0,Clear,0.66,0.6212,0.5,0.1642,20,75,95,Malam,Angin Ringan
4109,2011-06-25,Fall,2011,Jun,2.0,0,Saturday,0,Misty,0.66,0.6212,0.5,0.194,8,51,59,Malam,Angin Ringan
4110,2011-06-25,Fall,2011,Jun,3.0,0,Saturday,0,Clear,0.64,0.6212,0.57,0.194,18,21,39,Malam,Angin Ringan
4111,2011-06-25,Fall,2011,Jun,4.0,0,Saturday,0,Clear,0.64,0.6212,0.57,0.194,7,4,11,Malam,Angin Ringan
4112,2011-06-25,Fall,2011,Jun,5.0,0,Saturday,0,Clear,0.62,0.6061,0.61,0.1343,6,8,14,Malam,Angin Ringan
4113,2011-06-25,Fall,2011,Jun,6.0,0,Saturday,0,Clear,0.64,0.6212,0.57,0.2239,12,17,29,Pagi,Angin Sedang
4114,2011-06-25,Fall,2011,Jun,7.0,0,Saturday,0,Clear,0.64,0.6212,0.57,0.2836,7,35,42,Pagi,Angin Sedang
4115,2011-06-25,Fall,2011,Jun,8.0,0,Saturday,0,Clear,0.7,0.6515,0.48,0.2537,27,85,112,Pagi,Angin Sedang
4116,2011-06-25,Fall,2011,Jun,9.0,0,Saturday,0,Clear,0.72,0.6515,0.45,0.2537,47,139,186,Pagi,Angin Sedang
4117,2011-06-25,Fall,2011,Jun,10.0,0,Saturday,0,Clear,0.72,0.6515,0.45,0.194,99,203,302,Pagi,Angin Ringan
4118,2011-06-25,Fall,2011,Jun,11.0,0,Saturday,0,Clear,0.74,0.6667,0.42,0.0,122,209,331,Pagi,Angin Ringan
4119,2011-06-25,Fall,2011,Jun,12.0,0,Saturday,0,Clear,0.74,0.6515,0.4,0.2836,140,252,392,Siang,Angin Sedang
4120,2011-06-25,Fall,2011,Jun,13.0,0,Saturday,0,Clear,0.74,0.6515,0.4,0.2836,140,231,371,Siang,Angin Sedang
4121,2011-06-25,Fall,2011,Jun,14.0,0,Saturday,0,Clear,0.74,0.6667,0.45,0.2985,151,232,383,Siang,Angin Sedang
4122,2011-06-25,Fall,2011,Jun,15.0,0,Saturday,0,Clear,0.74,0.6667,0.45,0.0,157,235,392,Siang,Angin Ringan
4123,2011-06-25,Fall,2011,Jun,16.0,0,Saturday,0,Clear,0.76,0.6818,0.43,0.2985,175,235,410,Sore,Angin Sedang
4124,2011-06-25,Fall,2011,Jun,17.0,0,Saturday,0,Clear,0.74,0.6667,0.42,0.2239,152,247,399,Sore,Angin Sedang
4125,2011-06-25,Fall,2011,Jun,18.0,0,Saturday,0,Clear,0.72,0.6515,0.45,0.2537,108,199,307,Sore,Angin Sedang
4126,2011-06-25,Fall,2011,Jun,19.0,0,Saturday,0,Clear,0.72,0.6667,0.48,0.2836,121,254,375,Malam,Angin Sedang
4127,2011-06-25,Fall,2011,Jun,20.0,0,Saturday,0,Clear,0.7,0.6515,0.48,0.194,74,195,269,Malam,Angin Ringan
4128,2011-06-25,Fall,2011,Jun,21.0,0,Saturday,0,Clear,0.68,0.6364,0.51,0.1642,62,140,202,Malam,Angin Ringan
4129,2011-06-25,Fall,2011,Jun,22.0,0,Saturday,0,Clear,0.68,0.6364,0.47,0.194,61,126,187,Malam,Angin Ringan
4130,2011-06-25,Fall,2011,Jun,23.0,0,Saturday,0,Misty,0.66,0.6212,0.5,0.2985,49,130,179,Malam,Angin Sedang
4131,2011-06-26,Fall,2011,Jun,0.0,0,Sunday,0,Clear,0.64,0.6212,0.53,0.0,30,85,115,Malam,Angin Ringan
4132,2011-06-26,Fall,2011,Jun,1.0,0,Sunday,0,Clear,0.64,0.6212,0.53,0.1045,17,73,90,Malam,Angin Ringan
4133,2011-06-26,Fall,2011,Jun,2.0,0,Sunday,0,Clear,0.62,0.6212,0.57,0.1045,17,70,87,Malam,Angin Ringan
4134,2011-06-26,Fall,2011,Jun,3.0,0,Sunday,0,Clear,0.6,0.6061,0.64,0.1045,12,22,34,Malam,Angin Ringan
4135,2011-06-26,Fall,2011,Jun,4.0,0,Sunday,0,Clear,0.6,0.6061,0.64,0.0896,3,8,11,Malam,Angin Ringan
4136,2011-06-26,Fall,2011,Jun,5.0,0,Sunday,0,Clear,0.6,0.6061,0.64,0.0,3,9,12,Malam,Angin Ringan
4137,2011-06-26,Fall,2011,Jun,6.0,0,Sunday,0,Clear,0.6,0.6061,0.64,0.0,7,13,20,Pagi,Angin Ringan
4138,2011-06-26,Fall,2011,Jun,7.0,0,Sunday,0,Clear,0.62,0.6061,0.61,0.0,24,27,51,Pagi,Angin Ringan
4139,2011-06-26,Fall,2011,Jun,8.0,0,Sunday,0,Clear,0.64,0.6212,0.61,0.194,29,78,107,Pagi,Angin Ringan
4140,2011-06-26,Fall,2011,Jun,9.0,0,Sunday,0,Clear,0.66,0.6212,0.54,0.0896,75,131,206,Pagi,Angin Ringan
4141,2011-06-26,Fall,2011,Jun,10.0,0,Sunday,0,Clear,0.72,0.6667,0.48,0.1045,136,196,332,Pagi,Angin Ringan
4142,2011-06-26,Fall,2011,Jun,11.0,0,Sunday,0,Clear,0.72,0.6515,0.45,0.1343,127,219,346,Pagi,Angin Ringan
4143,2011-06-26,Fall,2011,Jun,12.0,0,Sunday,0,Clear,0.74,0.6515,0.4,0.1642,175,268,443,Siang,Angin Ringan
4144,2011-06-26,Fall,2011,Jun,13.0,0,Sunday,0,Clear,0.74,0.6515,0.4,0.0,197,245,442,Siang,Angin Ringan
4145,2011-06-26,Fall,2011,Jun,14.0,0,Sunday,0,Clear,0.74,0.6515,0.4,0.1343,197,246,443,Siang,Angin Ringan
4146,2011-06-26,Fall,2011,Jun,15.0,0,Sunday,0,Clear,0.74,0.6515,0.4,0.0,174,229,403,Siang,Angin Ringan
4147,2011-06-26,Fall,2011,Jun,16.0,0,Sunday,0,Clear,0.74,0.6667,0.42,0.194,177,278,455,Sore,Angin Ringan
4148,2011-06-26,Fall,2011,Jun,17.0,0,Sunday,0,Misty,0.72,0.6515,0.42,0.1642,178,243,421,Sore,Angin Ringan
4149,2011-06-26,Fall,2011,Jun,18.0,0,Sunday,0,Misty,0.72,0.6515,0.45,0.2537,117,265,382,Sore,Angin Sedang
4150,2011-06-26,Fall,2011,Jun,19.0,0,Sunday,0,Misty,0.72,0.6667,0.48,0.1343,89,228,317,Malam,Angin Ringan
4151,2011-06-26,Fall,2011,Jun,20.0,0,Sunday,0,Misty,0.7,0.6515,0.48,0.1045,55,158,213,Malam,Angin Ringan
4152,2011-06-26,Fall,2011,Jun,21.0,0,Sunday,0,Misty,0.7,0.6515,0.54,0.1045,48,135,183,Malam,Angin Ringan
4153,2011-06-26,Fall,2011,Jun,22.0,0,Sunday,0,Clear,0.7,0.6515,0.51,0.0,19,95,114,Malam,Angin Ringan
4154,2011-06-26,Fall,2011,Jun,23.0,0,Sunday,0,Clear,0.7,0.6515,0.54,0.0896,14,64,78,Malam,Angin Ringan
4155,2011-06-27,Fall,2011,Jun,0.0,0,Monday,1,Light_rainsnow,0.64,0.6061,0.73,0.2836,7,25,32,Malam,Angin Sedang
4156,2011-06-27,Fall,2011,Jun,1.0,0,Monday,1,Misty,0.62,0.5909,0.78,0.1343,4,11,15,Malam,Angin Ringan
4157,2011-06-27,Fall,2011,Jun,2.0,0,Monday,1,Light_rainsnow,0.62,0.5909,0.78,0.1343,3,3,6,Malam,Angin Ringan
4158,2011-06-27,Fall,2011,Jun,3.0,0,Monday,1,Light_rainsnow,0.62,0.5909,0.78,0.1343,0,2,2,Malam,Angin Ringan
4159,2011-06-27,Fall,2011,Jun,4.0,0,Monday,1,Misty,0.6,0.5606,0.83,0.1642,1,8,9,Malam,Angin Ringan
4160,2011-06-27,Fall,2011,Jun,5.0,0,Monday,1,Misty,0.62,0.5758,0.83,0.1642,1,21,22,Malam,Angin Ringan
4161,2011-06-27,Fall,2011,Jun,6.0,0,Monday,1,Misty,0.62,0.5909,0.78,0.1642,4,90,94,Pagi,Angin Ringan
4162,2011-06-27,Fall,2011,Jun,7.0,0,Monday,1,Misty,0.64,0.6061,0.73,0.2239,14,247,261,Pagi,Angin Sedang
4163,2011-06-27,Fall,2011,Jun,8.0,0,Monday,1,Clear,0.66,0.6212,0.74,0.194,29,418,447,Pagi,Angin Ringan
4164,2011-06-27,Fall,2011,Jun,9.0,0,Monday,1,Misty,0.72,0.6667,0.54,0.0,37,150,187,Pagi,Angin Ringan
4165,2011-06-27,Fall,2011,Jun,10.0,0,Monday,1,Misty,0.72,0.6667,0.54,0.1343,55,95,150,Pagi,Angin Ringan
4166,2011-06-27,Fall,2011,Jun,11.0,0,Monday,1,Misty,0.7,0.6515,0.58,0.0,55,95,150,Pagi,Angin Ringan
4167,2011-06-27,Fall,2011,Jun,12.0,0,Monday,1,Misty,0.72,0.6667,0.54,0.0,40,130,170,Siang,Angin Ringan
4168,2011-06-27,Fall,2011,Jun,13.0,0,Monday,1,Misty,0.72,0.6667,0.58,0.2239,37,127,164,Siang,Angin Sedang
4169,2011-06-27,Fall,2011,Jun,14.0,0,Monday,1,Misty,0.72,0.6667,0.58,0.0896,58,100,158,Siang,Angin Ringan
4170,2011-06-27,Fall,2011,Jun,15.0,0,Monday,1,Misty,0.74,0.6818,0.55,0.0,76,126,202,Siang,Angin Ringan
4171,2011-06-27,Fall,2011,Jun,16.0,0,Monday,1,Clear,0.74,0.6818,0.55,0.1045,53,222,275,Sore,Angin Ringan
4172,2011-06-27,Fall,2011,Jun,17.0,0,Monday,1,Clear,0.74,0.6818,0.55,0.1343,90,514,604,Sore,Angin Ringan
4173,2011-06-27,Fall,2011,Jun,18.0,0,Monday,1,Clear,0.74,0.6667,0.51,0.0,79,512,591,Sore,Angin Ringan
4174,2011-06-27,Fall,2011,Jun,19.0,0,Monday,1,Clear,0.72,0.6818,0.62,0.194,56,340,396,Malam,Angin Ringan
4175,2011-06-27,Fall,2011,Jun,20.0,0,Monday,1,Clear,0.7,0.6515,0.65,0.1045,54,251,305,Malam,Angin Ringan
4176,2011-06-27,Fall,2011,Jun,21.0,0,Monday,1,Clear,0.7,0.6515,0.65,0.0,52,190,242,Malam,Angin Ringan
4177,2011-06-27,Fall,2011,Jun,22.0,0,Monday,1,Clear,0.68,0.6364,0.69,0.0,33,112,145,Malam,Angin Ringan
4178,2011-06-27,Fall,2011,Jun,23.0,0,Monday,1,Clear,0.68,0.6364,0.69,0.0,16,65,81,Malam,Angin Ringan
4179,2011-06-28,Fall,2011,Jun,0.0,0,Tuesday,1,Misty,0.66,0.6061,0.78,0.1343,5,25,30,Malam,Angin Ringan
4180,2011-06-28,Fall,2011,Jun,1.0,0,Tuesday,1,Clear,0.66,0.6212,0.74,0.0,5,8,13,Malam,Angin Ringan
4181,2011-06-28,Fall,2011,Jun,2.0,0,Tuesday,1,Misty,0.66,0.6212,0.74,0.0,2,9,11,Malam,Angin Ringan
4182,2011-06-28,Fall,2011,Jun,3.0,0,Tuesday,1,Misty,0.66,0.6212,0.74,0.0,0,2,2,Malam,Angin Ringan
4183,2011-06-28,Fall,2011,Jun,4.0,0,Tuesday,1,Clear,0.66,0.6212,0.74,0.0,1,7,8,Malam,Angin Ringan
4184,2011-06-28,Fall,2011,Jun,5.0,0,Tuesday,1,Clear,0.66,0.6061,0.78,0.0,1,20,21,Malam,Angin Ringan
4185,2011-06-28,Fall,2011,Jun,6.0,0,Tuesday,1,Clear,0.66,0.6061,0.83,0.1642,7,117,124,Pagi,Angin Ringan
4186,2011-06-28,Fall,2011,Jun,7.0,0,Tuesday,1,Clear,0.68,0.6364,0.83,0.194,27,320,347,Pagi,Angin Ringan
4187,2011-06-28,Fall,2011,Jun,8.0,0,Tuesday,1,Clear,0.7,0.6667,0.79,0.1642,39,417,456,Pagi,Angin Ringan
4188,2011-06-28,Fall,2011,Jun,9.0,0,Tuesday,1,Clear,0.74,0.697,0.7,0.0,38,208,246,Pagi,Angin Ringan
4189,2011-06-28,Fall,2011,Jun,10.0,0,Tuesday,1,Clear,0.8,0.7424,0.49,0.1642,45,112,157,Pagi,Angin Ringan
4190,2011-06-28,Fall,2011,Jun,11.0,0,Tuesday,1,Clear,0.82,0.7576,0.46,0.0,49,118,167,Pagi,Angin Ringan
4191,2011-06-28,Fall,2011,Jun,12.0,0,Tuesday,1,Clear,0.84,0.7727,0.47,0.2239,41,161,202,Siang,Angin Sedang
4192,2011-06-28,Fall,2011,Jun,13.0,0,Tuesday,1,Clear,0.84,0.7576,0.44,0.0,33,156,189,Siang,Angin Ringan
4193,2011-06-28,Fall,2011,Jun,14.0,0,Tuesday,1,Clear,0.86,0.7879,0.44,0.2239,43,117,160,Siang,Angin Sedang
4194,2011-06-28,Fall,2011,Jun,15.0,0,Tuesday,1,Clear,0.86,0.7879,0.41,0.0,39,127,166,Siang,Angin Ringan
4195,2011-06-28,Fall,2011,Jun,16.0,0,Tuesday,1,Clear,0.86,0.803,0.47,0.2836,41,220,261,Sore,Angin Sedang
4196,2011-06-28,Fall,2011,Jun,17.0,0,Tuesday,1,Light_rainsnow,0.82,0.7879,0.56,0.2836,70,509,579,Sore,Angin Sedang
4197,2011-06-28,Fall,2011,Jun,18.0,0,Tuesday,1,Light_rainsnow,0.8,0.7576,0.55,0.2985,68,436,504,Sore,Angin Sedang
4198,2011-06-28,Fall,2011,Jun,19.0,0,Tuesday,1,Misty,0.74,0.6818,0.58,0.4627,44,255,299,Malam,Angin Kencang
4199,2011-06-28,Fall,2011,Jun,20.0,0,Tuesday,1,Clear,0.74,0.6818,0.62,0.0,50,246,296,Malam,Angin Ringan
4200,2011-06-28,Fall,2011,Jun,21.0,0,Tuesday,1,Clear,0.74,0.697,0.66,0.2836,31,164,195,Malam,Angin Sedang
4201,2011-06-28,Fall,2011,Jun,22.0,0,Tuesday,1,Clear,0.7,0.6515,0.7,0.2985,30,104,134,Malam,Angin Sedang
4202,2011-06-28,Fall,2011,Jun,23.0,0,Tuesday,1,Clear,0.7,0.6515,0.7,0.2836,23,58,81,Malam,Angin Sedang
4203,2011-06-29,Fall,2011,Jun,0.0,0,Wednesday,1,Misty,0.68,0.6364,0.79,0.2836,11,25,36,Malam,Angin Sedang
4204,2011-06-29,Fall,2011,Jun,1.0,0,Wednesday,1,Clear,0.68,0.6364,0.79,0.2985,10,18,28,Malam,Angin Sedang
4205,2011-06-29,Fall,2011,Jun,2.0,0,Wednesday,1,Clear,0.66,0.6061,0.83,0.2239,7,9,16,Malam,Angin Sedang
4206,2011-06-29,Fall,2011,Jun,3.0,0,Wednesday,1,Misty,0.66,0.6061,0.83,0.1045,2,3,5,Malam,Angin Ringan
4207,2011-06-29,Fall,2011,Jun,4.0,0,Wednesday,1,Clear,0.66,0.6061,0.83,0.1045,0,5,5,Malam,Angin Ringan
4208,2011-06-29,Fall,2011,Jun,5.0,0,Wednesday,1,Clear,0.64,0.5758,0.83,0.194,3,19,22,Malam,Angin Ringan
4209,2011-06-29,Fall,2011,Jun,6.0,0,Wednesday,1,Clear,0.66,0.6212,0.69,0.2985,12,104,116,Pagi,Angin Sedang
4210,2011-06-29,Fall,2011,Jun,7.0,0,Wednesday,1,Clear,0.7,0.6515,0.54,0.2239,18,318,336,Pagi,Angin Sedang
4211,2011-06-29,Fall,2011,Jun,8.0,0,Wednesday,1,Clear,0.7,0.6515,0.48,0.2836,41,499,540,Pagi,Angin Sedang
4212,2011-06-29,Fall,2011,Jun,9.0,0,Wednesday,1,Clear,0.72,0.6515,0.45,0.3881,32,189,221,Pagi,Angin Kencang
4213,2011-06-29,Fall,2011,Jun,10.0,0,Wednesday,1,Clear,0.74,0.6667,0.42,0.2836,31,95,126,Pagi,Angin Sedang
4214,2011-06-29,Fall,2011,Jun,11.0,0,Wednesday,1,Clear,0.76,0.6667,0.35,0.2239,53,117,170,Pagi,Angin Sedang
4215,2011-06-29,Fall,2011,Jun,12.0,0,Wednesday,1,Clear,0.76,0.6667,0.35,0.2537,55,188,243,Siang,Angin Sedang
4216,2011-06-29,Fall,2011,Jun,13.0,0,Wednesday,1,Clear,0.8,0.697,0.31,0.3284,45,186,231,Siang,Angin Sedang
4217,2011-06-29,Fall,2011,Jun,14.0,0,Wednesday,1,Clear,0.8,0.697,0.31,0.194,50,138,188,Siang,Angin Ringan
4218,2011-06-29,Fall,2011,Jun,15.0,0,Wednesday,1,Clear,0.82,0.7121,0.3,0.1642,43,146,189,Siang,Angin Ringan
4219,2011-06-29,Fall,2011,Jun,16.0,0,Wednesday,1,Clear,0.82,0.7121,0.3,0.4179,60,268,328,Sore,Angin Kencang
4220,2011-06-29,Fall,2011,Jun,17.0,0,Wednesday,1,Clear,0.82,0.7121,0.26,0.4179,78,492,570,Sore,Angin Kencang
4221,2011-06-29,Fall,2011,Jun,18.0,0,Wednesday,1,Clear,0.8,0.697,0.29,0.2985,78,510,588,Sore,Angin Sedang
4222,2011-06-29,Fall,2011,Jun,19.0,0,Wednesday,1,Clear,0.76,0.6667,0.35,0.3881,60,341,401,Malam,Angin Kencang
4223,2011-06-29,Fall,2011,Jun,20.0,0,Wednesday,1,Clear,0.74,0.6515,0.37,0.2985,69,264,333,Malam,Angin Sedang
4224,2011-06-29,Fall,2011,Jun,21.0,0,Wednesday,1,Clear,0.72,0.6515,0.39,0.2239,26,195,221,Malam,Angin Sedang
4225,2011-06-29,Fall,2011,Jun,22.0,0,Wednesday,1,Clear,0.7,0.6364,0.42,0.194,32,151,183,Malam,Angin Ringan
4226,2011-06-29,Fall,2011,Jun,23.0,0,Wednesday,1,Clear,0.68,0.6364,0.47,0.194,32,97,129,Malam,Angin Ringan
4227,2011-06-30,Fall,2011,Jun,0.0,0,Thursday,1,Clear,0.66,0.6212,0.5,0.1642,15,39,54,Malam,Angin Ringan
4228,2011-06-30,Fall,2011,Jun,1.0,0,Thursday,1,Clear,0.64,0.6212,0.53,0.1343,13,19,32,Malam,Angin Ringan
4229,2011-06-30,Fall,2011,Jun,2.0,0,Thursday,1,Clear,0.62,0.6212,0.57,0.1343,2,6,8,Malam,Angin Ringan
